<wikipedia:standardization>	314
<wikipedia:grain_(mass)>	30
<wikipedia:heraldic_badge>	31
<wikipedia:Chinatown,_Brisbane>	4
<wikipedia:Albania,_Santander>	0
<wikipedia:Individual_differences_psychology>	8
<wikipedia:Parliament_of_Trinidad_and_Tobago>	27
<wikipedia:German_American>	469
<wikipedia:Incidental_music>	20
<wikipedia:Jabal_al-Druze_(state)>	2
<wikipedia:program_management>	20
<wikipedia:feature_(software_design)>	20
<wikipedia:Caryopsis>	7
<wikipedia:August_2006_in_Macau>	3
<wikipedia:Formal_semantics_of_programming_languages>	19
<wikipedia:.name>	10
<wikipedia:President_of_Egypt>	102
<wikipedia:interactive_art>	28
<wikipedia:German-speaking_Europe>	92
<wikipedia:CAVEs>	1
<wikipedia:rock_(music)>	577
<wikipedia:breed_type>	13
<wikipedia:First_Intifada>	168
<wikipedia:First_Anglo-Afghan_War>	100
<wikipedia:Windows-1252>	33
<wikipedia:Bayesian_game>	12
<wikipedia:Information_technology>	671
<wikipedia:Annual_publication>	55
<wikipedia:UK_Singles_Chart>	6403
<wikipedia:Type_(metaphysics)>	9
<wikipedia:First_Republic_of_South_Korea>	25
<wikipedia:East_Los_Angeles_(region)>	92
<wikipedia:septic_tank>	94
<wikipedia:First_Republic_of_Czechoslovakia>	41
<wikipedia:Entertainment_(Fischerspooner_album)>	2
<wikipedia:Typesetting>	41
<wikipedia:Online_business>	1
<wikipedia:Type>	4
<wikipedia:Street_cries>	2
<wikipedia:Canon_(fiction)>	260
<wikipedia:Digital_media>	34
<wikipedia:Assistant_director>	11
<wikipedia:List_of_martial_arts_weapons>	7
<wikipedia:Types_of_corporations>	1
<wikipedia:Dos_(Gerardo_album)>	0
<wikipedia:Bedford_(electoral_district)>	3
<wikipedia:NFL_playoffs,_1987-88>	10
<wikipedia:Webcomic>	16
<wikipedia:Chinatown_(LACMTA_station)>	1
<wikipedia:artistic>	94
<wikipedia:West_Oder_River>	5
<wikipedia:Computer_system>	10
<wikipedia:Annual_(comics)>	2
<wikipedia:Formal_wear>	13
<wikipedia:Alpine_skiing_at_the_2006_Winter_Olympics_%E2%80%93_Men's_combined>	1
<wikipedia:Government_of_North_Korea>	33
<wikipedia:Eastern_Canada>	157
<wikipedia:Nuclear_test>	6
<wikipedia:Name_(song)>	5
<wikipedia:Education_in_England%23Schools>	1
<wikipedia:University>	730
<wikipedia:Documentary_evidence>	5
<wikipedia:List_of_heads_of_state_of_Ecuador>	58
<wikipedia:interactive_television>	69
<wikipedia:celery>	189
<wikipedia:Sardonyx>	2
<wikipedia:Tender_(Wishbone_Ash_album)>	1
<wikipedia:plebs>	176
<wikipedia:West_Tennessee>	103
<wikipedia:Solomon's_Temple>	152
<wikipedia:Eastern_Conference_(NHL)>	166
<wikipedia:File_synchronization>	12
<wikipedia:first_school>	16
<wikipedia:Fall_(religion)>	5
<wikipedia:Battle_of_El_Obeid>	6
<wikipedia:West_Malaysia>	39
<wikipedia:Length_(horse_racing)>	22
<wikipedia:falling>	6
<wikipedia:Symbol>	42
<wikipedia:Government_of_Australia>	547
<wikipedia:visible>	24
<wikipedia:biological_type>	111
<wikipedia:Christian_name>	41
<wikipedia:International_electrotechnical_commission>	1
<wikipedia:South_Texas>	132
<wikipedia:Poland_(European_Parliament_constituency)>	0
<wikipedia:Features_(pattern_recognition)>	8
<wikipedia:Adventure_(Dungeons_&amp;_Dragons)>	120
<wikipedia:5-polytope%23A_note_on_generality_of_terms_for_n-polytopes_and_elements>	11
<wikipedia:San_Francisco_(Be_Sure_to_Wear_Flowers_in_Your_Hair)>	14
<wikipedia:railway_electrification_system>	158
<wikipedia:film_technique>	5
<wikipedia:Albania,_La_Guajira>	5
<wikipedia:Entrepreneur>	270
<wikipedia:Francileudo_Silva_dos_Santos>	1
<wikipedia:ECC_memory>	7
<wikipedia:Artificial_membrane>	6
<wikipedia:Crystallite>	13
<wikipedia:birthday>	226
<wikipedia::sweet_potato>	1
<wikipedia:Assyrian_Army>	1
<wikipedia:Poland>	27129
<wikipedia:conservation>	85
<wikipedia:Feature_(Computer_vision)>	2
<wikipedia:interest_(finance)>	12
<wikipedia:Government_of_Romania>	60
<wikipedia:National_Register_of_Historic_Places_listings_in_King_County,_Washington>	3
<wikipedia:Beeswax>	16
<wikipedia:Lists_of_countries>	10
<wikipedia:Ship's_tender>	63
<wikipedia:house_style>	23
<wikipedia:Albania_(name)>	1
<wikipedia:Politics_of_the_Empire_of_Brazil%23Executive_branch>	2
<wikipedia:ISO_(disambiguation)>	1
<wikipedia:Venezuela,_Cuba>	0
<wikipedia:Violin_Concerto_(Beethoven)>	31
<wikipedia:listed_companies>	10
<wikipedia:German_railway_station_categories>	15
<wikipedia:destructor_(computer_science)>	14
<wikipedia:West_Falkland>	81
<wikipedia:gladiolus>	20
<wikipedia:Melodies>	1
<wikipedia:Canadian_Football_League_West_Division>	83
<wikipedia:Poland,_New_York>	5
<wikipedia:internet>	1687
<wikipedia:true_name>	22
<wikipedia:Lufenuron>	5
<wikipedia:First_Class_Honours_(degree)>	21
<wikipedia:Snapdragon_(Morituri)>	2
<wikipedia:hostname>	33
<wikipedia:Institute>	34
<wikipedia:Northeast_United_States>	47
<wikipedia:Denmark,_Western_Australia>	36
<wikipedia:U.S._Southern_States>	37
<wikipedia:Petunia>	14
<wikipedia:weapons>	206
<wikipedia:San_Francisco,_Atl%C3%A1ntida>	0
<wikipedia:U.S._State_Department_list_of_Foreign_Terrorist_Organizations>	50
<wikipedia:magician's_assistant>	14
<wikipedia:West_Ukraine>	9
<wikipedia:Vitalism>	36
<wikipedia:West_Tyrone_(Northern_Ireland_Parliament_constituency)>	6
<wikipedia:Bombing_of_Hamburg_in_World_War_II>	30
<wikipedia:nuclear_waste>	155
<wikipedia:White_River_(Nebraska)>	2
<wikipedia:orchestration>	262
<wikipedia:President_of_the_Church_(Mormonism)>	37
<wikipedia:Siege_of_Constantinople_(1204)>	23
<wikipedia:Television_producer>	582
<wikipedia:Norm_%2528mathematics%2529%23Euclidean_norm>	1
<wikipedia:Beethoven's_Ninth_Symphony>	15
<wikipedia:Andorra,_Philadelphia,_Pennsylvania>	2
<wikipedia:Australia>	64025
<wikipedia:IEC>	7
<wikipedia:South_Australia>	4333
<wikipedia:Conjunto_Hist%C3%B3rico-Art%C3%ADstico>	2
<wikipedia:Law_clerk>	37
<wikipedia:Symphony_No._1_(Elgar)>	12
<wikipedia:French_poetry>	609
<wikipedia:Greece_national_under-21_football_team>	54
<wikipedia:radio_producer>	102
<wikipedia:nation-state>	254
<wikipedia:type>	40
<wikipedia:Entertainment%23Comedy>	1
<wikipedia:San_Francisco_(You've_Got_Me)>	2
<wikipedia:President_of_Iran>	122
<wikipedia:toileting>	3
<wikipedia:ornamentation_(music)>	8
<wikipedia:Family_history_society>	8
<wikipedia:%23Visual_connection>	1
<wikipedia:Portal_(architecture)>	55
<wikipedia:Chinatown_(Chicago)>	3
<wikipedia:Jupitergigantens%C3%A4ule>	1
<wikipedia:style_guide>	56
<wikipedia:Unique_(album)>	1
<wikipedia:Systems_of_Star_Wars%23Tatooine>	0
<wikipedia:Snapdragon_(processor)>	8
<wikipedia:Malaysia>	12321
<wikipedia:Formal_fallacy>	3
