1992 elections	<wikipedia:Angolan_presidential_election,_1992>	1
1992 elections	<wikipedia:Croatian_parliamentary_election,_1992>	2
1992 elections	<wikipedia:Elections_in_Gibraltar%231992_election>	1
1992 elections	<wikipedia:Elections_in_Trinidad_and_Tobago%231992_Tobago_House_of_Assembly_Elections>	1
1992 elections	<wikipedia:Gambian_general_election,_1992>	1
1992 elections	<wikipedia:Iraqi_Kurdistan_legislative_election,_1992>	1
1992 elections	<wikipedia:Israeli_legislative_election,_1992>	74
1992 elections	<wikipedia:Kenyan_general_election,_1992>	1
1992 elections	<wikipedia:Philippine_general_election,_1992>	9
1992 elections	<wikipedia:Romanian_legislative_election,_1992>	2
1992 elections	<wikipedia:Romanian_presidential_election,_1992>	1
1992 elections	<wikipedia:United_Kingdom_general_election,_1992>	1
1992 elections	<wikipedia:United_States_House_election,_1992>	1
1992 elections	<wikipedia:United_States_House_elections,_1992>	1
1992 elections	<wikipedia:United_States_House_of_Representatives_elections,_1992>	1
1992 elections	_total	98
2 dimensional	<wikipedia:2_dimensional>	2
2 dimensional	<wikipedia:Dimension>	1
2 dimensional	_total	3
3d	<wikipedia:3-D_(band)>	1
3d	<wikipedia:3-D_Film>	1
3d	<wikipedia:3-D_computer_graphics>	44
3d	<wikipedia:3-D_film>	1
3d	<wikipedia:3-D_films>	1
3d	<wikipedia:3D>	33
3d	<wikipedia:3D_(TLC_album)>	12
3d	<wikipedia:3D_(The_Three_Degrees_album)>	2
3d	<wikipedia:3D_(album)>	1
3d	<wikipedia:3D_Computer_Aided_Design>	7
3d	<wikipedia:3D_Computer_Graphics>	2
3d	<wikipedia:3D_acceleration>	1
3d	<wikipedia:3D_animation>	2
3d	<wikipedia:3D_computer_graphics>	717
3d	<wikipedia:3D_computer_graphics_software>	1
3d	<wikipedia:3D_computer_graphics_that_are_all_shaped_like_penises_and_are_as_gay_as_gay_porn>	1
3d	<wikipedia:3D_film>	15
3d	<wikipedia:3D_graphics>	12
3d	<wikipedia:3D_graphics_card>	3
3d	<wikipedia:3D_model>	2
3d	<wikipedia:3D_modeling>	1
3d	<wikipedia:3D_television>	5
3d	<wikipedia:3_dimensional>	1
3d	<wikipedia:3d>	2
3d	<wikipedia:3d_Airlift_Squadron>	1
3d	<wikipedia:3d_Armored_Cavalry_Regiment>	1
3d	<wikipedia:3d_Bombardment_Squadron>	1
3d	<wikipedia:3d_Ranger_Battalion>	1
3d	<wikipedia:3d_computer_graphics>	3
3d	<wikipedia:3d_graphics>	1
3d	<wikipedia:3d_rendering>	1
3d	<wikipedia:Anaglyph_image>	2
3d	<wikipedia:British_Rail_unit_designations%23Diesel_Electric_Multiple_Units>	1
3d	<wikipedia:Computer-aided_design>	1
3d	<wikipedia:Computer-generated_imagery>	1
3d	<wikipedia:Computer_graphics%233D>	1
3d	<wikipedia:Dimension>	2
3d	<wikipedia:Electron_configuration>	1
3d	<wikipedia:Old_penny_sterling>	3
3d	<wikipedia:Professional_wrestling_double-team_maneuvers%23Death_Drop>	2
3d	<wikipedia:Professional_wrestling_double-team_maneuvers%23Dudley_Death_Drop>	5
3d	<wikipedia:Professional_wrestling_double_team_maneuvers%23Dudley_Death_Drop>	1
